max_depth_LGB,num_iterations_LGB,learning_rate_LGB,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,max_bin_LGB,reg_alpha_LGB,degree,mse,r2,mse_y,auc_t
7,200,0.1,96,96,15,0.9,0.9,48,0.1,10,0.098539409,0.901460591,1.088611815,0.504037149
7,200,0.1,32,32,5,0.5,0.5,48,1,10,0.098547142,0.901452858,1.115577813,0.504037149
7,200,0.1,96,96,15,0.5,0.5,48,1,10,0.098567921,0.901432079,1.081076738,0.504037149
7,200,0.1,64,64,10,0.7,0.7,48,1,10,0.098589738,0.901410262,1.09862825,0.504037149
9,100,0.2,128,128,20,0.7,0.7,16,0.01,10,0.098605223,0.901394777,1.073109494,0.504037149
9,200,0.1,96,96,15,0.9,0.9,144,0.1,10,0.098623203,0.901376797,1.092316133,0.504037149
5,200,0.1,96,96,15,0.7,0.7,48,0.01,10,0.098626532,0.901373468,1.079967435,0.504037149
9,100,0.2,32,32,5,0.9,0.9,16,1,10,0.098627776,0.901372224,1.146522738,0.504037149
7,100,0.2,96,96,15,0.5,0.5,112,0.1,10,0.098665698,0.901334302,1.081213614,0.504037149
9,200,0.1,96,96,15,0.7,0.7,48,0.1,10,0.098669908,0.901330092,1.085677204,0.504037149
7,100,0.2,96,96,15,0.7,0.7,80,0.01,10,0.098678583,0.901321417,1.081166259,0.504037149
9,200,0.1,32,32,5,0.5,0.5,16,0.1,10,0.098679179,0.901320821,1.111189446,0.504037149
9,100,0.2,64,64,10,0.7,0.7,112,1,10,0.098707483,0.901292517,1.100294976,0.504037149
9,100,0.2,64,64,10,0.5,0.5,48,0.1,10,0.098727509,0.901272491,1.102818633,0.504037149
7,100,0.2,64,64,10,0.5,0.5,144,0.01,10,0.098760228,0.901239772,1.092578755,0.504037149
5,200,0.1,64,64,10,0.9,0.9,112,1,10,0.09879574,0.90120426,1.089055514,0.504037149
9,100,0.2,64,64,10,0.9,0.9,112,1,10,0.098836006,0.901163994,1.114788393,0.504037149
7,100,0.2,96,96,15,0.5,0.5,48,1,10,0.09884029,0.90115971,1.082713961,0.504037149
9,100,0.2,96,96,15,0.9,0.9,112,1,10,0.098846058,0.901153942,1.093046471,0.504037149
5,100,0.2,32,32,5,0.5,0.5,80,1,10,0.098849145,0.901150855,1.099948254,0.504037149
9,200,0.1,96,96,15,0.5,0.5,16,0.01,10,0.098864711,0.901135289,1.07400966,0.504037149
5,100,0.2,96,96,15,0.5,0.5,144,0.1,10,0.098876346,0.901123654,1.077681091,0.504037149
7,100,0.2,64,64,10,0.9,0.9,48,0.1,10,0.09893219,0.90106781,1.104442167,0.504037149
7,200,0.1,64,64,10,0.5,0.5,144,0.1,10,0.098948865,0.901051135,1.092153038,0.504037149
9,100,0.2,96,96,15,0.5,0.5,144,0.1,10,0.098956544,0.901043456,1.084714528,0.504037149
9,200,0.1,128,128,20,0.9,0.9,16,1,10,0.098966663,0.901033337,1.074882784,0.504037149
7,200,0.1,128,128,20,0.9,0.9,16,1,10,0.098966663,0.901033337,1.075663319,0.504037149
5,200,0.1,128,128,20,0.9,0.9,16,1,10,0.098969237,0.901030763,1.074208215,0.504037149
7,100,0.2,64,64,10,0.9,0.9,80,1,10,0.099004022,0.900995978,1.110954613,0.504037149
7,200,0.1,96,96,15,0.5,0.5,48,0.1,10,0.099007104,0.900992896,1.083558705,0.504037149
9,100,0.2,64,64,10,0.5,0.5,16,0.1,10,0.099058772,0.900941228,1.087661875,0.504037149
5,200,0.1,64,64,10,0.9,0.9,16,1,10,0.099085794,0.900914206,1.073583703,0.504037149
7,100,0.2,96,96,15,0.5,0.5,80,1,10,0.099123136,0.900876864,1.082885723,0.504037149
5,200,0.1,96,96,15,0.5,0.5,80,0.01,10,0.099175101,0.900824899,1.077714375,0.504037149
7,100,0.2,64,64,10,0.7,0.7,144,1,10,0.099175998,0.900824002,1.094207091,0.504037149
9,200,0.1,32,32,5,0.9,0.9,48,0.01,10,0.09921152,0.90078848,1.146964946,0.504037149
9,200,0.1,32,32,5,0.7,0.7,80,0.01,10,0.099234945,0.900765055,1.124995342,0.504037149
9,200,0.1,96,96,15,0.5,0.5,112,0.1,10,0.099239245,0.900760755,1.08433562,0.504037149
9,200,0.1,96,96,15,0.5,0.5,48,0.1,10,0.099251194,0.900748806,1.0824194,0.504037149
5,200,0.1,96,96,15,0.9,0.9,112,0.01,10,0.099260596,0.900739404,1.080727299,0.504037149
5,200,0.1,96,96,15,0.7,0.7,16,0.01,10,0.099270874,0.900729126,1.072615509,0.504037149
