max_depth_LGB,min_child_samples_LGB,num_leaves_LGB,num_iterations_LGB,learning_rate_LGB,penalty_逻辑回归,subsample_LGB,colsample_bytree_LGB,reg_lambda_LGB,max_bin_LGB,reg_alpha_LGB,C_逻辑回归,degree,mse,r2,mse_y,auc_t
9,64,64,100,0.2,l2,0.5,0.5,1,16,0.01,0.1,10,0.106852336,0.893147664,1.087703284,0.50672502
9,64,64,200,0.1,l2,0.9,0.9,9,144,0.1,1,10,0.10687006,0.89312994,1.097901633,0.506313556
7,32,32,200,0.1,l1,0.7,0.7,7,112,0.1,1,10,0.106889811,0.893110189,1.070863854,0.513925627
9,64,64,200,0.1,l2,0.9,0.9,3,48,1,10,10,0.106890294,0.893109706,1.099810016,0.506254776
9,64,64,100,0.2,l2,0.5,0.5,5,80,1,10,10,0.106893284,0.893106716,1.096384987,0.506254776
7,32,32,200,0.1,l1,0.7,0.7,5,80,0.01,0.1,10,0.106908131,0.893091869,1.074550879,0.5
9,64,64,200,0.1,l1,0.5,0.5,9,144,0.01,0.1,10,0.106969122,0.893030878,1.085638271,0.5
7,32,32,200,0.1,l1,0.5,0.5,7,112,0.01,0.1,10,0.106973186,0.893026814,1.071228986,0.5
7,32,32,100,0.2,l2,0.7,0.7,3,48,0.1,1,10,0.106999543,0.893000457,1.077876691,0.506313556
9,64,64,200,0.1,l1,0.5,0.5,1,16,0.1,1,10,0.107054239,0.892945761,1.084666367,0.513925627
7,32,32,100,0.2,l1,0.7,0.7,9,144,0.01,0.1,10,0.107057899,0.892942101,1.073782393,0.5
9,64,64,200,0.1,l2,0.5,0.5,3,48,0.1,1,10,0.107061957,0.892938043,1.104516351,0.506313556
9,64,64,200,0.1,l1,0.7,0.7,9,144,0.1,1,10,0.107074131,0.892925869,1.088191393,0.513925627
9,64,64,200,0.1,l2,0.5,0.5,9,144,0.1,1,10,0.10718702,0.89281298,1.087775595,0.506313556
9,64,64,200,0.1,l1,0.5,0.5,5,80,0.1,1,10,0.107244029,0.892755971,1.092834661,0.513925627
9,64,64,100,0.2,l1,0.9,0.9,7,112,0.1,1,10,0.107315886,0.892684114,1.09255607,0.513925627
9,64,64,200,0.1,l1,0.9,0.9,3,48,0.01,0.1,10,0.107382845,0.892617155,1.110162743,0.5
7,32,32,100,0.2,l1,0.9,0.9,7,112,1,10,10,0.107424496,0.892575504,1.07612072,0.507590696
7,32,32,200,0.1,l1,0.9,0.9,5,80,1,10,10,0.107451286,0.892548714,1.074554055,0.507590696
7,32,32,100,0.2,l2,0.9,0.9,5,80,0.01,0.1,10,0.107502792,0.892497208,1.081914343,0.50672502
7,32,32,100,0.2,l1,0.9,0.9,1,16,0.1,1,10,0.107525552,0.892474448,1.08218731,0.513925627
7,32,32,100,0.2,l2,0.9,0.9,7,112,1,10,10,0.107533331,0.892466669,1.07612072,0.506254776
7,32,32,200,0.1,l2,0.9,0.9,5,80,1,10,10,0.107548548,0.892451452,1.074554055,0.506254776
